iter	Passed	Remaining
0	168	168398
1	186	92867
2	204	67826
3	221	55273
4	239	47652
5	258	42790
6	277	39374
7	294	36559
8	318	35089
9	342	33896
10	367	32996
11	389	32080
12	420	31889
13	450	31698
14	492	32355
15	532	32724
16	552	31945
17	578	31577
18	597	30852
19	615	30171
20	632	29498
21	649	28854
22	667	28335
23	685	27880
24	702	27393
25	718	26914
26	733	26424
27	748	25985
28	763	25570
29	779	25191
30	794	24849
31	810	24505
32	825	24175
33	839	23839
34	854	23550
35	869	23292
36	886	23065
37	900	22794
38	914	22536
39	928	22292
40	942	22040
41	957	21830
42	972	21640
43	986	21434
44	1000	21226
45	1014	21042
46	1029	20867
47	1043	20697
48	1058	20542
49	1073	20397
50	1089	20280
51	1105	20161
52	1121	20038
53	1136	19902
54	1152	19802
55	1172	19767
56	1190	19687
57	1206	19590
58	1224	19524
59	1241	19449
60	1259	19382
61	1274	19285
62	1290	19189
63	1306	19105
64	1320	18998
65	1335	18894
66	1349	18798
67	1362	18680
68	1378	18599
69	1395	18534
70	1410	18461
71	1428	18411
72	1446	18370
73	1463	18308
74	1479	18242
75	1494	18168
76	1510	18108
77	1528	18062
78	1544	18004
79	1559	17936
80	1575	17875
81	1591	17812
82	1606	17747
83	1621	17682
84	1637	17629
85	1653	17571
86	1670	17531
87	1687	17487
88	1702	17428
89	1717	17365
90	1732	17310
91	1747	17251
92	1763	17198
93	1777	17131
94	1791	17065
95	1804	16995
96	1818	16931
97	1831	16860
98	1846	16800
99	1859	16739
100	1873	16676
101	1891	16650
102	1904	16585
103	1919	16535
104	1933	16482
105	1949	16442
106	1964	16397
107	1979	16348
108	1994	16302
109	2008	16248
110	2021	16191
111	2036	16145
112	2049	16090
113	2064	16042
114	2077	15990
115	2092	15945
116	2107	15902
117	2119	15845
118	2135	15810
119	2149	15762
120	2163	15718
121	2179	15687
122	2194	15646
123	2208	15603
124	2221	15552
125	2234	15497
126	2247	15447
127	2261	15406
128	2275	15364
129	2291	15332
130	2305	15295
131	2319	15255
132	2332	15206
133	2345	15160
134	2360	15124
135	2375	15088
136	2389	15054
137	2406	15029
138	2420	14991
139	2434	14952
140	2447	14910
141	2459	14863
142	2473	14825
143	2488	14794
144	2502	14758
145	2515	14713
146	2529	14679
147	2543	14643
148	2557	14609
149	2571	14574
150	2587	14547
151	2600	14510
152	2616	14483
153	2629	14442
154	2641	14402
155	2655	14369
156	2670	14340
157	2685	14311
158	2699	14276
159	2712	14243
160	2726	14208
161	2739	14171
162	2753	14138
163	2766	14102
164	2780	14070
165	2796	14049
166	2811	14022
167	2824	13988
168	2839	13962
169	2853	13931
170	2866	13897
171	2880	13865
172	2893	13832
173	2907	13800
174	2921	13772
175	2934	13738
176	2948	13708
177	2962	13678
178	2976	13652
179	2990	13622
180	3004	13594
181	3019	13570
182	3035	13551
183	3048	13519
184	3062	13491
185	3076	13462
186	3088	13428
187	3102	13401
188	3117	13378
189	3131	13350
190	3147	13331
191	3161	13306
192	3175	13277
193	3188	13246
194	3203	13225
195	3220	13209
196	3238	13200
197	3253	13179
198	3268	13155
199	3283	13133
200	3299	13114
201	3315	13097
202	3331	13080
203	3348	13067
204	3364	13048
205	3381	13034
206	3398	13019
207	3413	12995
208	3426	12970
209	3441	12945
210	3455	12922
211	3471	12903
212	3483	12872
213	3498	12848
214	3511	12822
215	3524	12794
216	3537	12765
217	3551	12740
218	3564	12713
219	3578	12686
220	3594	12669
221	3607	12643
222	3621	12618
223	3637	12601
224	3652	12580
225	3666	12555
226	3680	12534
227	3695	12514
228	3710	12492
229	3724	12468
230	3738	12445
231	3752	12421
232	3765	12396
233	3779	12370
234	3794	12351
235	3807	12325
236	3821	12301
237	3835	12278
238	3848	12252
239	3861	12229
240	3877	12211
241	3893	12196
242	3908	12175
243	3920	12148
244	3934	12124
245	3948	12102
246	3962	12079
247	3976	12057
248	3990	12034
249	4003	12010
250	4016	11985
251	4032	11968
252	4045	11945
253	4058	11920
254	4073	11900
255	4090	11887
256	4106	11872
257	4121	11852
258	4134	11829
259	4148	11806
260	4161	11783
261	4174	11759
262	4189	11739
263	4203	11718
264	4216	11695
265	4229	11670
266	4243	11649
267	4255	11623
268	4269	11601
269	4284	11584
270	4299	11564
271	4315	11550
272	4328	11526
273	4342	11504
274	4355	11482
275	4367	11457
276	4382	11438
277	4397	11421
278	4411	11401
279	4425	11379
280	4438	11356
281	4451	11332
282	4464	11309
283	4478	11290
284	4493	11273
285	4507	11253
286	4520	11229
287	4546	11239
288	4561	11222
289	4576	11203
290	4588	11178
291	4600	11155
292	4614	11133
293	4627	11112
294	4640	11091
295	4654	11071
296	4667	11047
297	4681	11027
298	4696	11010
299	4709	10988
300	4724	10970
301	4739	10954
302	4754	10937
303	4768	10916
304	4782	10897
305	4796	10879
306	4810	10858
307	4824	10839
308	4839	10821
309	4852	10800
310	4865	10779
311	4878	10758
312	4892	10738
313	4905	10716
314	4917	10693
315	4930	10673
316	4945	10654
317	4961	10641
318	4978	10627
319	4992	10609
320	5006	10589
321	5019	10569
322	5032	10548
323	5045	10526
324	5059	10509
325	5074	10490
326	5087	10471
327	5102	10453
328	5116	10435
329	5129	10415
330	5143	10395
331	5157	10377
332	5172	10361
333	5187	10344
334	5202	10326
335	5215	10306
336	5230	10290
337	5244	10271
338	5258	10254
339	5273	10235
340	5288	10220
341	5302	10201
342	5316	10183
343	5330	10165
344	5342	10143
345	5356	10125
346	5370	10107
347	5385	10090
348	5400	10074
349	5415	10056
350	5428	10038
351	5441	10017
352	5455	9999
353	5470	9982
354	5482	9960
355	5497	9944
356	5510	9925
357	5523	9904
358	5537	9886
359	5551	9869
360	5565	9850
361	5579	9833
362	5593	9816
363	5609	9801
364	5622	9781
365	5636	9764
366	5651	9746
367	5665	9730
368	5680	9713
369	5694	9695
370	5707	9676
371	5720	9657
372	5733	9638
373	5747	9620
374	5761	9602
375	5776	9586
376	5790	9568
377	5803	9550
378	5818	9533
379	5833	9518
380	5847	9500
381	5860	9480
382	5873	9462
383	5886	9442
384	5899	9423
385	5914	9407
386	5928	9389
387	5941	9372
388	5956	9355
389	5969	9336
390	5981	9316
391	5995	9298
392	6009	9282
393	6025	9267
394	6040	9252
395	6056	9236
396	6070	9220
397	6083	9201
398	6096	9183
399	6111	9167
400	6125	9150
401	6139	9133
402	6153	9115
403	6168	9099
404	6181	9081
405	6193	9061
406	6207	9044
407	6221	9027
408	6237	9013
409	6251	8996
410	6265	8978
411	6278	8961
412	6292	8943
413	6306	8926
414	6320	8910
415	6335	8893
416	6348	8875
417	6361	8857
418	6375	8840
419	6388	8822
420	6402	8805
421	6418	8791
422	6458	8809
423	6480	8803
424	6502	8797
425	6515	8778
426	6528	8760
427	6541	8742
428	6554	8724
429	6569	8707
430	6582	8690
431	6596	8673
432	6608	8653
433	6621	8635
434	6635	8618
435	6648	8599
436	6662	8582
437	6673	8562
438	6688	8546
439	6702	8529
440	6716	8513
441	6731	8497
442	6744	8479
443	6757	8461
444	6771	8444
445	6784	8426
446	6798	8410
447	6813	8395
448	6827	8378
449	6841	8362
450	6854	8343
451	6868	8326
452	6881	8309
453	6896	8294
454	6913	8280
455	6927	8264
456	6940	8246
457	6953	8229
458	6967	8211
459	6981	8195
460	6995	8178
461	7007	8160
462	7019	8141
463	7033	8125
464	7048	8109
465	7062	8093
466	7077	8078
467	7091	8061
468	7106	8046
469	7120	8029
470	7136	8015
471	7150	7998
472	7163	7981
473	7177	7964
474	7190	7947
475	7203	7930
476	7218	7914
477	7231	7897
478	7247	7882
479	7260	7865
480	7275	7849
481	7289	7833
482	7302	7816
483	7315	7799
484	7330	7783
485	7346	7770
486	7361	7754
487	7374	7737
488	7388	7721
489	7402	7705
490	7414	7686
491	7428	7669
492	7442	7654
493	7456	7637
494	7470	7620
495	7481	7602
496	7493	7583
497	7505	7566
498	7517	7548
499	7530	7530
500	7545	7515
501	7561	7501
502	7575	7485
503	7589	7468
504	7603	7452
505	7615	7435
506	7627	7417
507	7642	7401
508	7657	7386
509	7671	7370
510	7685	7354
511	7699	7338
512	7712	7321
513	7724	7303
514	7738	7287
515	7753	7272
516	7768	7257
517	7783	7242
518	7798	7227
519	7811	7210
520	7824	7193
521	7838	7177
522	7851	7161
523	7866	7146
524	7880	7130
525	7893	7112
526	7904	7094
527	7918	7078
528	7931	7062
529	7945	7046
530	7959	7029
531	7973	7014
532	7989	7000
533	8006	6987
534	8022	6972
535	8036	6957
536	8051	6941
537	8067	6927
538	8082	6912
539	8097	6898
540	8114	6884
541	8129	6869
542	8142	6853
543	8155	6836
544	8170	6821
545	8184	6805
546	8202	6792
547	8217	6777
548	8232	6763
549	8247	6747
550	8262	6733
551	8278	6718
552	8293	6703
553	8308	6689
554	8323	6674
555	8336	6657
556	8351	6642
557	8367	6628
558	8383	6613
559	8400	6600
560	8416	6586
561	8432	6572
562	8447	6557
563	8464	6543
564	8478	6527
565	8493	6512
566	8507	6496
567	8518	6478
568	8533	6463
569	8548	6448
570	8563	6433
571	8578	6419
572	8593	6404
573	8608	6389
574	8624	6374
575	8640	6360
576	8655	6345
577	8669	6329
578	8683	6314
579	8697	6298
580	8711	6282
581	8724	6266
582	8738	6250
583	8751	6233
584	8764	6217
585	8778	6201
586	8792	6186
587	8806	6170
588	8820	6154
589	8833	6138
590	8848	6123
591	8862	6107
592	8876	6092
593	8891	6077
594	8904	6061
595	8918	6045
596	8932	6029
597	8945	6013
598	8959	5997
599	8973	5982
600	8988	5967
601	9001	5950
602	9015	5935
603	9026	5918
604	9041	5903
605	9056	5888
606	9072	5873
607	9088	5859
608	9101	5843
609	9114	5827
610	9127	5811
611	9140	5794
612	9153	5778
613	9166	5762
614	9179	5746
615	9192	5730
616	9207	5715
617	9221	5699
618	9232	5682
619	9247	5667
620	9262	5653
621	9277	5637
622	9291	5622
623	9306	5607
624	9319	5591
625	9333	5576
626	9347	5560
627	9361	5545
628	9373	5528
629	9387	5513
630	9401	5498
631	9414	5482
632	9428	5466
633	9442	5451
634	9454	5434
635	9469	5419
636	9485	5405
637	9500	5390
638	9514	5375
639	9527	5359
640	9541	5343
641	9554	5327
642	9567	5312
643	9581	5296
644	9595	5281
645	9608	5265
646	9622	5250
647	9635	5233
648	9648	5218
649	9662	5202
650	9676	5187
651	9691	5172
652	9707	5158
653	9721	5143
654	9733	5126
655	9747	5111
656	9761	5096
657	9774	5080
658	9789	5065
659	9803	5050
660	9817	5034
661	9831	5019
662	9846	5004
663	9860	4989
664	9874	4974
665	9889	4959
666	9904	4944
667	9918	4929
668	9931	4913
669	9946	4898
670	9959	4883
671	9973	4867
672	9988	4853
673	10002	4838
674	10016	4822
675	10029	4807
676	10043	4791
677	10055	4775
678	10068	4759
679	10080	4743
680	10095	4728
681	10110	4714
682	10124	4699
683	10137	4683
684	10152	4668
685	10165	4653
686	10178	4637
687	10191	4621
688	10206	4607
689	10220	4592
690	10234	4576
691	10248	4561
692	10260	4545
693	10273	4529
694	10285	4513
695	10300	4498
696	10314	4483
697	10328	4468
698	10343	4453
699	10356	4438
700	10370	4423
701	10384	4408
702	10398	4393
703	10413	4378
704	10426	4362
705	10439	4347
706	10453	4332
707	10466	4316
708	10479	4301
709	10491	4285
710	10504	4269
711	10518	4254
712	10532	4239
713	10548	4225
714	10563	4210
715	10576	4195
716	10588	4179
717	10602	4164
718	10617	4149
719	10631	4134
720	10645	4119
721	10660	4104
722	10673	4089
723	10686	4073
724	10700	4058
725	10713	4043
726	10727	4028
727	10739	4012
728	10752	3997
729	10769	3983
730	10782	3967
731	10797	3953
732	10812	3938
733	10827	3923
734	10840	3908
735	10852	3892
736	10866	3877
737	10879	3862
738	10893	3847
739	10907	3832
740	10921	3817
741	10934	3802
742	10949	3787
743	10964	3772
744	10979	3757
745	10992	3742
746	11007	3727
747	11019	3712
748	11031	3696
749	11046	3682
750	11059	3666
751	11072	3651
752	11086	3636
753	11098	3621
754	11111	3605
755	11138	3594
756	11150	3579
757	11164	3564
758	11179	3549
759	11196	3535
760	11209	3520
761	11223	3505
762	11238	3490
763	11251	3475
764	11264	3460
